"","Family","no_fish_species","source"
"163","Pristigasteridae",38,"FishBase"
"164","Synaphobranchidae",38,"FishBase"
"165","Tetrarogidae",38,"FishBase"
"166","Channidae",37,"FishBase"
"167","Percichthyidae",37,"FishBase"
"168","Adrianichthyidae",36,"FishBase"
"169","Carapidae",36,"FishBase"
"170","Lethrinidae",36,"FishBase"
"171","Sternopygidae",36,"FishBase"
"172","Synanceiidae",36,"FishBase"
"173","Achiridae",35,"FishBase"
"174","Amblycipitidae",34,"FishBase"
"175","Sillaginidae",34,"FishBase"
"176","Anabantidae",33,"FishBase"
"177","Cirrhitidae",33,"FishBase"
"178","Chiasmodontidae",32,"FishBase"
"179","Parodontidae",32,"FishBase"
"180","Pempheridae",32,"FishBase"
"181","Acropomatidae",31,"FishBase"
"182","Centrolophidae",31,"FishBase"
"183","Gonostomatidae",31,"FishBase"
"184","Hemiodontidae",31,"FishBase"
"185","Artedidraconidae",30,"FishBase"
"186","Ipnopidae",30,"FishBase"
"187","Kneriidae",30,"FishBase"
"188","Narcinidae",30,"FishBase"
"189","Urolophidae",30,"FishBase"
"190","Hypopomidae",29,"FishBase"
"191","Siganidae",29,"FishBase"
"192","Ammodytidae",28,"FishBase"
"193","Cetomimidae",28,"FishBase"
"194","Iguanodectidae",28,"FishBase"
"195","Lophiidae",28,"FishBase"
"196","Pangasiidae",28,"FishBase"
"197","Potamotrygonidae",28,"FishBase"
"198","Squalidae",28,"FishBase"
"199","Argentinidae",27,"FishBase"
"200","Cheilodactylidae",27,"FishBase"
"201","Cyclopteridae",27,"FishBase"
"202","Linophrynidae",27,"FishBase"
"203","Samaridae",27,"FishBase"
"204","Sphyraenidae",27,"FishBase"
"205","Acestrorhynchidae",26,"FishBase"
"206","Embiotocidae",26,"FishBase"
"207","Acipenseridae",25,"FishBase"
"208","Channichthyidae",25,"FishBase"
"209","Ostraciidae",25,"FishBase"
"210","Abyssocottidae",24,"FishBase"
"211","Gadidae",24,"FishBase"
"212","Gempylidae",24,"FishBase"
"213","Phosichthyidae",24,"FishBase"
"214","Caesionidae",23,"FishBase"
"215","Cepolidae",23,"FishBase"
"216","Gigantactinidae",23,"FishBase"
"217","Merlucciidae",23,"FishBase"
"218","Phallostethidae",23,"FishBase"
"219","Psilorhynchidae",23,"FishBase"
"220","Squatinidae",23,"FishBase"
"221","Synbranchidae",23,"FishBase"
"222","Triacanthodidae",23,"FishBase"
"223","Triportheidae",23,"FishBase"
"224","Anguillidae",22,"FishBase"
"225","Aphyonidae",22,"FishBase"
"226","Badidae",22,"FishBase"
"227","Bathylagidae",22,"FishBase"
"228","Chaunacidae",22,"FishBase"
"229","Chlopsidae",22,"FishBase"
"230","Lotidae",22,"FishBase"
"231","Torpedinidae",22,"FishBase"
"232","Himantolophidae",21,"FishBase"
"233","Malapteruridae",21,"FishBase"
"234","Odontobutidae",21,"FishBase"
"235","Prochilodontidae",21,"FishBase"
"236","Bramidae",19,"FishBase"
"237","Caristiidae",19,"FishBase"
"238","Microstomatidae",19,"FishBase"
"239","Opisthoproctidae",19,"FishBase"
"240","Priacanthidae",19,"FishBase"
"241","Salangidae",19,"FishBase"
"242","Anablepidae",18,"FishBase"
"243","Caproidae",18,"FishBase"
"244","Creediidae",18,"FishBase"
"245","Diodontidae",18,"FishBase"
"246","Emmelichthyidae",18,"FishBase"
"247","Gasterosteidae",18,"FishBase"
"248","Neosebastidae",18,"FishBase"
"249","Pseudomugilidae",18,"FishBase"
"250","Scopelarchidae",18,"FishBase"
"251","Telmatherinidae",18,"FishBase"
"252","Bathydraconidae",17,"FishBase"
"253","Chlorophthalmidae",17,"FishBase"
"254","Erythrinidae",17,"FishBase"
"255","Hemiscylliidae",17,"FishBase"
"256","Notosudidae",17,"FishBase"
"257","Somniosidae",17,"FishBase"
"258","Urotrygonidae",17,"FishBase"
"259","Bedotiidae",16,"FishBase"
"260","Centrophoridae",16,"FishBase"
"261","Halosauridae",16,"FishBase"
"262","Nomeidae",16,"FishBase"
"263","Rhamphichthyidae",16,"FishBase"
"264","Monognathidae",15,"FishBase"
"265","Moringuidae",15,"FishBase"
"266","Muraenesocidae",15,"FishBase"
"267","Osmeridae",15,"FishBase"
"268","Pholidae",15,"FishBase"
