"","SpecCode","Species","Genus","Subfamily","Family","Order","Class","SuperClass"
"77",83,"Aphareus rutilans","Aphareus","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"78",84,"Aprion virescens","Aprion","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"79",85,"Apsilus dentatus","Apsilus","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"80",86,"Apsilus fuscus","Apsilus","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"81",87,"Etelis carbunculus","Etelis","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"82",88,"Lamna nasus","Lamna",NA,"Lamnidae","Lamniformes","Elasmobranchii","Chondrichthyes"
"83",89,"Acanthocybium solandri","Acanthocybium","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"84",90,"Cetorhinus maximus","Cetorhinus",NA,"Cetorhinidae","Lamniformes","Elasmobranchii","Chondrichthyes"
"85",91,"Allothunnus fallai","Allothunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"86",92,"Acanthostracion quadricornis","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Actinopterygii","Osteichthyes"
"87",93,"Auxis rochei","Auxis","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"88",94,"Auxis thazard","Auxis","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"89",95,"Cybiosarda elegans","Cybiosarda","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"90",96,"Euthynnus affinis","Euthynnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"91",97,"Euthynnus alletteratus","Euthynnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"92",98,"Euthynnus lineatus","Euthynnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"93",99,"Alepisaurus ferox","Alepisaurus",NA,"Alepisauridae","Aulopiformes","Actinopterygii","Osteichthyes"
"94",100,"Gasterochisma melampus","Gasterochisma","Gasterochismatinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"95",101,"Alosa alosa","Alosa","Alosinae","Clupeidae","Clupeiformes","Actinopterygii","Osteichthyes"
"96",102,"Conger esculentus","Conger","Congrinae","Congridae","Anguilliformes","Actinopterygii","Osteichthyes"
"97",103,"Grammatorcynus bicarinatus","Grammatorcynus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"98",104,"Grammatorcynus bilineatus","Grammatorcynus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"99",105,"Alosa immaculata","Alosa","Alosinae","Clupeidae","Clupeiformes","Actinopterygii","Osteichthyes"
"100",106,"Gymnosarda unicolor","Gymnosarda","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"101",107,"Katsuwonus pelamis","Katsuwonus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"102",108,"Orcynopsis unicolor","Orcynopsis","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"103",109,"Rastrelliger brachysoma","Rastrelliger","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"104",110,"Rastrelliger faughni","Rastrelliger","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"105",111,"Rastrelliger kanagurta","Rastrelliger","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"106",112,"Sarda australis","Sarda","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"107",113,"Sarda chiliensis","Sarda","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"108",114,"Sarda orientalis","Sarda","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"109",115,"Sarda sarda","Sarda","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"110",116,"Scomber australasicus","Scomber","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"111",117,"Scomber japonicus","Scomber","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"112",118,"Scomber scombrus","Scomber","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"113",119,"Scomberomorus brasiliensis","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"114",120,"Scomberomorus cavalla","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"115",121,"Scomberomorus commerson","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"116",122,"Scomberomorus concolor","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"117",123,"Scomberomorus guttatus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"118",124,"Scomberomorus koreanus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"119",125,"Scomberomorus lineolatus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"120",126,"Scomberomorus maculatus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"121",127,"Apogonichthyoides taeniatus","Apogonichthyoides","Apogoninae","Apogonidae","Perciformes","Actinopterygii","Osteichthyes"
"122",128,"Scomberomorus multiradiatus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"123",129,"Scomberomorus munroi","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"124",130,"Argyropelecus aculeatus","Argyropelecus","Sternoptychinae","Sternoptychidae","Stomiiformes","Actinopterygii","Osteichthyes"
"125",131,"Scomberomorus niphonius","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"126",132,"Scomberomorus plurilineatus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"127",133,"Scomberomorus queenslandicus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"128",134,"Scomberomorus regalis","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"129",135,"Scomberomorus semifasciatus","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"130",136,"Scomberomorus sierra","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"131",137,"Scomberomorus sinensis","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"132",138,"Somniosus microcephalus","Somniosus",NA,"Somniosidae","Squaliformes","Elasmobranchii","Chondrichthyes"
"133",139,"Squalus acanthias","Squalus",NA,"Squalidae","Squaliformes","Elasmobranchii","Chondrichthyes"
"134",140,"Pseudobatos percellens","Pseudobatos","Rhinobatinae","Rhinobatidae","Rhinopristiformes","Elasmobranchii","Chondrichthyes"
"135",141,"Scomberomorus tritor","Scomberomorus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"136",142,"Thunnus alalunga","Thunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"137",143,"Thunnus albacares","Thunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"138",144,"Thunnus atlanticus","Thunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"139",145,"Thunnus maccoyii","Thunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"140",146,"Thunnus obesus","Thunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"141",147,"Thunnus thynnus","Thunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"142",148,"Thunnus tonggol","Thunnus","Scombrinae","Scombridae","Perciformes","Actinopterygii","Osteichthyes"
"143",149,"Pseudobatos planiceps","Pseudobatos","Rhinobatinae","Rhinobatidae","Rhinopristiformes","Elasmobranchii","Chondrichthyes"
"144",150,"Lutjanus fuscescens","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"145",151,"Lutjanus guilcheri","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"146",152,"Lutjanus guttatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"147",153,"Lutjanus inermis","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"148",154,"Lutjanus jocu","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"149",155,"Lutjanus jordani","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"150",156,"Lutjanus kasmira","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"151",157,"Lutjanus lemniscatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"152",158,"Lutjanus lunulatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"153",159,"Lutjanus lutjanus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"154",160,"Lutjanus madras","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"155",161,"Lutjanus mahogoni","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"156",162,"Lutjanus malabaricus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"157",164,"Lutjanus maxweberi","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"158",165,"Lutjanus mizenkoi","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"159",166,"Lutjanus monostigma","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"160",167,"Callorhinchus capensis","Callorhinchus",NA,"Callorhinchidae","Chimaeriformes","Holocephali","Chondrichthyes"
"161",168,"Lutjanus notatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"162",169,"Lutjanus novemfasciatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"163",170,"Lutjanus peru","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"164",171,"Lutjanus purpureus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"165",172,"Lutjanus quinquelineatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"166",173,"Lutjanus rivulatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"167",174,"Polyodon spathula","Polyodon",NA,"Polyodontidae","Acipenseriformes","Actinopterygii","Osteichthyes"
"168",175,"Elops saurus","Elops",NA,"Elopidae","Elopiformes","Actinopterygii","Osteichthyes"
"169",176,"Lutjanus russellii","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"170",177,"Lutjanus sanguineus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"171",178,"Lutjanus sebae","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"172",179,"Lutjanus semicinctus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"173",180,"Lutjanus stellatus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"174",181,"Lutjanus synagris","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"175",182,"Lutjanus timoriensis","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"176",183,"Lutjanus viridis","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"177",184,"Lutjanus vitta","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"178",185,"Lutjanus vivanus","Lutjanus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"179",186,"Macolor macularis","Macolor","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"180",187,"Macolor niger","Macolor","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"181",188,"Ocyurus chrysurus","Ocyurus","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"182",189,"Paracaesio caerulea","Paracaesio","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"183",190,"Paracaesio gonzalesi","Paracaesio","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"184",191,"Paracaesio kusakarii","Paracaesio","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"185",192,"Paracaesio sordida","Paracaesio","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"186",193,"Paracaesio stonei","Paracaesio","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"187",194,"Paracaesio xanthura","Paracaesio","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"188",195,"Parapristipomoides squamimaxillaris","Parapristipomoides","Apsilinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"189",196,"Pinjalo pinjalo","Pinjalo","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"190",198,"Pristipomoides aquilonaris","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"191",199,"Pristipomoides argyrogrammicus","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"192",200,"Pristipomoides auricilla","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"193",201,"Pristipomoides filamentosus","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"194",202,"Pristipomoides flavipinnis","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"195",203,"Boops boops","Boops",NA,"Sparidae","Perciformes","Actinopterygii","Osteichthyes"
"196",204,"Sarpa salpa","Sarpa",NA,"Sparidae","Perciformes","Actinopterygii","Osteichthyes"
"197",205,"Pristipomoides freemani","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"198",206,"Pristipomoides macrophthalmus","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"199",207,"Bothus podas","Bothus",NA,"Bothidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"200",208,"Pristipomoides multidens","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"201",209,"Pristipomoides sieboldii","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"202",210,"Pristipomoides typus","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"203",211,"Pristipomoides zonatus","Pristipomoides","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"204",212,"Randallichthys filamentosus","Randallichthys","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"205",213,"Rhomboplites aurorubens","Rhomboplites","Lutjaninae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"206",214,"Symphorichthys spilurus","Symphorichthys","Paradicichthyinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"207",215,"Symphorus nematophorus","Symphorus","Paradicichthyinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"208",216,"Makaira nigricans","Makaira",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"209",217,"Istiompax indica","Istiompax",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"210",218,"Makaira mazara","Makaira",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"211",219,"Kajikia albida","Kajikia",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"212",220,"Tetrapturus pfluegeri","Tetrapturus",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"213",222,"Tetrapturus georgii","Tetrapturus",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"214",223,"Kajikia audax","Kajikia",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"215",225,"Callionymus filamentosus","Callionymus",NA,"Callionymidae","Perciformes","Actinopterygii","Osteichthyes"
"216",226,"Xiphias gladius","Xiphias",NA,"Xiphiidae","Perciformes","Actinopterygii","Osteichthyes"
"217",227,"Megalops cyprinoides","Megalops",NA,"Megalopidae","Elopiformes","Actinopterygii","Osteichthyes"
"218",228,"Albula vulpes","Albula","Albulinae","Albulidae","Albuliformes","Actinopterygii","Osteichthyes"
"219",229,"Nemoossis belloci","Nemoossis","Pterothrissinae","Albulidae","Albuliformes","Actinopterygii","Osteichthyes"
"220",230,"Alepocephalus bairdii","Alepocephalus",NA,"Alepocephalidae","Osmeriformes","Actinopterygii","Osteichthyes"
"221",231,"Coregonus albula","Coregonus","Coregoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
"222",232,"Coregonus lavaretus","Coregonus","Coregoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
"223",233,"Coregonus oxyrinchus","Coregonus","Coregoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
"224",234,"Coregonus clupeaformis","Coregonus","Coregoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
"225",235,"Coregonus artedi","Coregonus","Coregoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
"226",236,"Salmo salar","Salmo","Salmoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
"227",237,"Clarias jaensis","Clarias",NA,"Clariidae","Siluriformes","Actinopterygii","Osteichthyes"
"228",238,"Salmo trutta","Salmo","Salmoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
"229",239,"Oncorhynchus mykiss","Oncorhynchus","Salmoninae","Salmonidae","Salmoniformes","Actinopterygii","Osteichthyes"
