"","SpecCode","Species","Genus","Subfamily","Family","Order","Class","SuperClass"
"1",2,"Oreochromis niloticus","Oreochromis","Pseudocrenilabrinae","Cichlidae","Perciformes","Actinopterygii","Osteichthyes"
"2",3,"Oreochromis mossambicus","Oreochromis","Pseudocrenilabrinae","Cichlidae","Perciformes","Actinopterygii","Osteichthyes"
"3",4,"Engraulis ringens","Engraulis","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii","Osteichthyes"
"4",5,"Orthopristis chrysoptera","Orthopristis","Haemulinae","Haemulidae","Perciformes","Actinopterygii","Osteichthyes"
"5",6,"Coryphaena hippurus","Coryphaena",NA,"Coryphaenidae","Perciformes","Actinopterygii","Osteichthyes"
"6",7,"Coryphaena equiselis","Coryphaena",NA,"Coryphaenidae","Perciformes","Actinopterygii","Osteichthyes"
"7",9,"Abalistes stellaris","Abalistes",NA,"Balistidae","Tetraodontiformes","Actinopterygii","Osteichthyes"
"8",10,"Alectis indica","Alectis","Caranginae","Carangidae","Perciformes","Actinopterygii","Osteichthyes"
"9",12,"Cephalopholis cruentata","Cephalopholis","Epinephelinae","Serranidae","Perciformes","Actinopterygii","Osteichthyes"
"10",14,"Epinephelus adscensionis","Epinephelus","Epinephelinae","Serranidae","Perciformes","Actinopterygii","Osteichthyes"
"11",15,"Epinephelus guttatus","Epinephelus","Epinephelinae","Serranidae","Perciformes","Actinopterygii","Osteichthyes"
"12",16,"Epinephelus itajara","Epinephelus","Epinephelinae","Serranidae","Perciformes","Actinopterygii","Osteichthyes"
"13",17,"Epinephelus morio","Epinephelus","Epinephelinae","Serranidae","Perciformes","Actinopterygii","Osteichthyes"
"14",18,"Epinephelus striatus","Epinephelus","Epinephelinae","Serranidae","Perciformes","Actinopterygii","Osteichthyes"
"15",19,"Balistes vetula","Balistes",NA,"Balistidae","Tetraodontiformes","Actinopterygii","Osteichthyes"
"16",20,"Argentina sphyraena","Argentina",NA,"Argentinidae","Osmeriformes","Actinopterygii","Osteichthyes"
"17",21,"Benthosema glaciale","Benthosema","Myctophinae","Myctophidae","Myctophiformes","Actinopterygii","Osteichthyes"
"18",22,"Callionymus reticulatus","Callionymus",NA,"Callionymidae","Perciformes","Actinopterygii","Osteichthyes"
"19",23,"Callionymus lyra","Callionymus",NA,"Callionymidae","Perciformes","Actinopterygii","Osteichthyes"
"20",24,"Clupea harengus","Clupea","Clupeinae","Clupeidae","Clupeiformes","Actinopterygii","Osteichthyes"
"21",25,"Gadiculus thori","Gadiculus",NA,"Gadidae","Gadiformes","Actinopterygii","Osteichthyes"
"22",26,"Glyptocephalus cynoglossus","Glyptocephalus","Pleuronectinae","Pleuronectidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"23",27,"Lepidorhombus boscii","Lepidorhombus",NA,"Scophthalmidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"24",28,"Lepidorhombus whiffiagonis","Lepidorhombus",NA,"Scophthalmidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"25",29,"Merlangius merlangus","Merlangius",NA,"Gadidae","Gadiformes","Actinopterygii","Osteichthyes"
"26",30,"Merluccius merluccius","Merluccius","Merlucciinae","Merlucciidae","Gadiformes","Actinopterygii","Osteichthyes"
"27",31,"Micromesistius poutassou","Micromesistius",NA,"Gadidae","Gadiformes","Actinopterygii","Osteichthyes"
"28",32,"Microchirus variegatus","Microchirus",NA,"Soleidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"29",33,"Molva molva","Molva",NA,"Lotidae","Gadiformes","Actinopterygii","Osteichthyes"
"30",34,"Pollachius pollachius","Pollachius",NA,"Gadidae","Gadiformes","Actinopterygii","Osteichthyes"
"31",35,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Actinopterygii","Osteichthyes"
"32",36,"Agonus cataphractus","Agonus","Agoninae","Agonidae","Scorpaeniformes","Actinopterygii","Osteichthyes"
"33",37,"Ammodytes marinus","Ammodytes",NA,"Ammodytidae","Perciformes","Actinopterygii","Osteichthyes"
"34",38,"Ammodytes tobianus","Ammodytes",NA,"Ammodytidae","Perciformes","Actinopterygii","Osteichthyes"
"35",39,"Aphia minuta","Aphia","Gobiinae","Gobiidae","Perciformes","Actinopterygii","Osteichthyes"
"36",40,"Argyropelecus affinis","Argyropelecus","Sternoptychinae","Sternoptychidae","Stomiiformes","Actinopterygii","Osteichthyes"
"37",41,"Arnoglossus laterna","Arnoglossus",NA,"Bothidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"38",42,"Arnoglossus imperialis","Arnoglossus",NA,"Bothidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"39",43,"Arnoglossus thori","Arnoglossus",NA,"Bothidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"40",44,"Chelidonichthys cuculus","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Actinopterygii","Osteichthyes"
"41",45,"Atherina presbyter","Atherina","Atherininae","Atherinidae","Atheriniformes","Actinopterygii","Osteichthyes"
"42",46,"Melanolagus bericoides","Melanolagus",NA,"Bathylagidae","Osmeriformes","Actinopterygii","Osteichthyes"
"43",47,"Belone belone","Belone",NA,"Belonidae","Beloniformes","Actinopterygii","Osteichthyes"
"44",48,"Parablennius gattorugine","Parablennius","Salariinae","Blenniidae","Perciformes","Actinopterygii","Osteichthyes"
"45",49,"Blennius ocellaris","Blennius","Blenniinae","Blenniidae","Perciformes","Actinopterygii","Osteichthyes"
"46",51,"Brosme brosme","Brosme",NA,"Lotidae","Gadiformes","Actinopterygii","Osteichthyes"
"47",52,"Buenia jeffreysii","Buenia","Gobiinae","Gobiidae","Perciformes","Actinopterygii","Osteichthyes"
"48",53,"Buglossidium luteum","Buglossidium",NA,"Soleidae","Pleuronectiformes","Actinopterygii","Osteichthyes"
"49",54,"Capros aper","Capros",NA,"Caproidae","Perciformes","Actinopterygii","Osteichthyes"
"50",55,"Centrolabrus exoletus","Centrolabrus",NA,"Labridae","Perciformes","Actinopterygii","Osteichthyes"
"51",56,"Cepola macrophthalma","Cepola",NA,"Cepolidae","Perciformes","Actinopterygii","Osteichthyes"
"52",57,"Chirolophis ascanii","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Actinopterygii","Osteichthyes"
"53",58,"Coris julis","Coris","Corinae","Labridae","Perciformes","Actinopterygii","Osteichthyes"
"54",59,"Symphodus melops","Symphodus",NA,"Labridae","Perciformes","Actinopterygii","Osteichthyes"
"55",60,"Crystallogobius linearis","Crystallogobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii","Osteichthyes"
"56",61,"Ctenolabrus rupestris","Ctenolabrus",NA,"Labridae","Perciformes","Actinopterygii","Osteichthyes"
"57",62,"Cyclopterus lumpus","Cyclopterus",NA,"Cyclopteridae","Scorpaeniformes","Actinopterygii","Osteichthyes"
"58",63,"Dicentrarchus labrax","Dicentrarchus",NA,"Moronidae","Perciformes","Actinopterygii","Osteichthyes"
"59",64,"Diplecogaster bimaculata","Diplecogaster","Gobiesocinae","Gobiesocidae","Gobiesociformes","Actinopterygii","Osteichthyes"
"60",65,"Echiodon drummondii","Echiodon","Carapinae","Carapidae","Ophidiiformes","Actinopterygii","Osteichthyes"
"61",66,"Engraulis encrasicolus","Engraulis","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii","Osteichthyes"
"62",67,"Entelurus aequoreus","Entelurus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii","Osteichthyes"
"63",68,"Eutrigla gurnardus","Eutrigla","Triglinae","Triglidae","Scorpaeniformes","Actinopterygii","Osteichthyes"
"64",69,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Actinopterygii","Osteichthyes"
"65",71,"Caranx hippos","Caranx","Caranginae","Carangidae","Perciformes","Actinopterygii","Osteichthyes"
"66",72,"Gobius niger","Gobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii","Osteichthyes"
"67",73,"Gobius paganellus","Gobius","Gobiinae","Gobiidae","Perciformes","Actinopterygii","Osteichthyes"
"68",74,"Gobiusculus flavescens","Gobiusculus","Gobiinae","Gobiidae","Perciformes","Actinopterygii","Osteichthyes"
"69",75,"Gymnammodytes semisquamatus","Gymnammodytes",NA,"Ammodytidae","Perciformes","Actinopterygii","Osteichthyes"
"70",76,"Helicolenus dactylopterus","Helicolenus","Sebastinae","Sebastidae","Scorpaeniformes","Actinopterygii","Osteichthyes"
"71",77,"Istiophorus platypterus","Istiophorus",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"72",78,"Istiophorus albicans","Istiophorus",NA,"Istiophoridae","Perciformes","Actinopterygii","Osteichthyes"
"73",79,"Ctenopharyngodon idella","Ctenopharyngodon","Squaliobarbinae","Cyprinidae","Cypriniformes","Actinopterygii","Osteichthyes"
"74",80,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Actinopterygii","Osteichthyes"
"75",81,"Aphareus furca","Aphareus","Etelinae","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes"
"76",82,"Labeo rohita","Labeo","Labeoninae","Cyprinidae","Cypriniformes","Actinopterygii","Osteichthyes"
